row	column	cor	p	group	DiffExp
304	T.cells_CD8	PLAC1	 5.185630e-01	3.959004e-02	ASPS	0
305	CytolyticScore	PLAC1	 4.407785e-01	8.747249e-02	ASPS	0
306	T.cells_CD8	PLEKHA5	-1.705882e-01	5.276098e-01	ASPS	0
307	CytolyticScore	PLEKHA5	-1.852941e-01	4.920571e-01	ASPS	0
308	T.cells_CD8	POTEA	NA	NA	ASPS	0
309	CytolyticScore	POTEA	NA	NA	ASPS	0
310	T.cells_CD8	POTEB	-2.010893e-01	4.551909e-01	ASPS	0
311	CytolyticScore	POTEB	-1.385657e-01	6.088031e-01	ASPS	0
312	T.cells_CD8	POTEC	 3.719032e-01	1.560664e-01	ASPS	0
313	CytolyticScore	POTEC	 3.468713e-01	1.880892e-01	ASPS	0
314	T.cells_CD8	POTED	 4.200840e-01	1.052281e-01	ASPS	0
315	CytolyticScore	POTED	 3.640728e-01	1.656581e-01	ASPS	0
316	T.cells_CD8	POTEE	NA	NA	ASPS	0
317	CytolyticScore	POTEE	NA	NA	ASPS	0
318	T.cells_CD8	POTEG	 1.022620e-01	7.062796e-01	ASPS	0
319	CytolyticScore	POTEG	 1.789585e-01	5.072324e-01	ASPS	0
320	T.cells_CD8	POTEH	NA	NA	ASPS	0
321	CytolyticScore	POTEH	NA	NA	ASPS	0
322	T.cells_CD8	PRAME	 1.013205e-01	7.088735e-01	ASPS	0
323	CytolyticScore	PRAME	 3.285239e-01	2.141110e-01	ASPS	0
324	T.cells_CD8	PRM1	NA	NA	ASPS	0
325	CytolyticScore	PRM1	NA	NA	ASPS	0
326	T.cells_CD8	PRM2	NA	NA	ASPS	0
327	CytolyticScore	PRM2	NA	NA	ASPS	0
328	T.cells_CD8	PRSS50	-8.596888e-02	7.515717e-01	ASPS	0
329	CytolyticScore	PRSS50	-6.447666e-02	8.124770e-01	ASPS	0
330	T.cells_CD8	PRSS54	-2.800560e-02	9.179990e-01	ASPS	0
331	CytolyticScore	PRSS54	 2.520504e-01	3.463224e-01	ASPS	0
332	T.cells_CD8	PRSS55	 1.217133e-01	6.534053e-01	ASPS	0
