row	column	cor	p	group	DiffExp
344	T.cells_CD8	ETV6	 5.117647e-01	4.272345e-02	ASPS	0
345	CytolyticScore	ETV6	 6.147059e-01	1.127947e-02	ASPS	0
346	T.cells_CD8	ETV7	 4.823529e-01	5.845898e-02	ASPS	0
347	CytolyticScore	ETV7	 4.352941e-01	9.195236e-02	ASPS	0
348	T.cells_CD8	EVX1	 5.373733e-02	8.433152e-01	ASPS	0
349	CytolyticScore	EVX1	 1.373287e-01	6.120357e-01	ASPS	0
350	T.cells_CD8	EVX2	-3.305839e-01	2.110804e-01	ASPS	0
351	CytolyticScore	EVX2	-2.268713e-01	3.981266e-01	ASPS	0
352	T.cells_CD8	FERD3L	NA	NA	ASPS	0
353	CytolyticScore	FERD3L	NA	NA	ASPS	0
